tiles:['hills', 'forest', 'desert', 'forest', 'mountains', 'pasture', 'mountains', 'fields', 'pasture', 'fields', 'hills', 'fields', 'forest', 'hills', 'forest', 'mountains', 'pasture', 'fields', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'hills', 'fields', 'mountains', 'desert', 'forest', 'mountains', 'forest', 'pasture', 'hills', 'pasture', 'pasture', 'hills', 'fields', 'forest', 'fields', 'forest', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'forest', 'hills', 'mountains', 'desert', 'pasture', 'mountains', 'forest', 'pasture', 'hills', 'fields', 'fields', 'hills', 'fields', 'forest', 'forest', 'pasture', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'pasture', 'hills', 'mountains', 'desert', 'forest', 'mountains', 'forest', 'pasture', 'hills', 'fields', 'fields', 'hills', 'fields', 'forest', 'forest', 'pasture', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'forest', 'hills', 'mountains', 'desert', 'pasture', 'mountains', 'forest', 'pasture', 'hills', 'fields', 'fields', 'hills', 'fields', 'forest', 'pasture', 'forest', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'pasture', 'hills', 'mountains', 'desert', 'forest', 'mountains', 'forest', 'pasture', 'hills', 'fields', 'fields', 'hills', 'fields', 'forest', 'pasture', 'forest', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['forest', 'fields', 'forest', 'hills', 'mountains', 'desert', 'pasture', 'fields', 'forest', 'pasture', 'hills', 'mountains', 'pasture', 'mountains', 'fields', 'forest', 'fields', 'hills', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['forest', 'fields', 'mountains', 'hills', 'mountains', 'desert', 'pasture', 'fields', 'forest', 'pasture', 'hills', 'fields', 'pasture', 'mountains', 'fields', 'forest', 'forest', 'hills', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['forest', 'fields', 'mountains', 'hills', 'mountains', 'desert', 'pasture', 'pasture', 'forest', 'pasture', 'hills', 'fields', 'fields', 'mountains', 'fields', 'forest', 'forest', 'hills', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['forest', 'fields', 'hills', 'hills', 'mountains', 'desert', 'pasture', 'fields', 'forest', 'pasture', 'hills', 'mountains', 'pasture', 'mountains', 'fields', 'forest', 'fields', 'forest', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['forest', 'fields', 'mountains', 'hills', 'mountains', 'desert', 'pasture', 'fields', 'forest', 'pasture', 'hills', 'fields', 'pasture', 'mountains', 'fields', 'forest', 'hills', 'forest', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['forest', 'fields', 'mountains', 'hills', 'mountains', 'desert', 'pasture', 'pasture', 'forest', 'pasture', 'hills', 'fields', 'fields', 'mountains', 'fields', 'forest', 'hills', 'forest', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['hills', 'fields', 'forest', 'fields', 'mountains', 'desert', 'pasture', 'hills', 'forest', 'pasture', 'hills', 'mountains', 'pasture', 'mountains', 'fields', 'forest', 'fields', 'forest', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['forest', 'fields', 'forest', 'fields', 'mountains', 'desert', 'pasture', 'hills', 'forest', 'pasture', 'hills', 'mountains', 'pasture', 'mountains', 'fields', 'forest', 'fields', 'hills', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['forest', 'fields', 'hills', 'fields', 'mountains', 'desert', 'pasture', 'hills', 'forest', 'pasture', 'hills', 'mountains', 'pasture', 'mountains', 'fields', 'forest', 'fields', 'forest', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['forest', 'fields', 'mountains', 'fields', 'mountains', 'desert', 'pasture', 'hills', 'forest', 'pasture', 'hills', 'fields', 'pasture', 'mountains', 'fields', 'forest', 'forest', 'hills', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['forest', 'fields', 'mountains', 'fields', 'mountains', 'desert', 'pasture', 'hills', 'forest', 'pasture', 'hills', 'fields', 'pasture', 'mountains', 'fields', 'forest', 'hills', 'forest', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['hills', 'fields', 'forest', 'fields', 'mountains', 'desert', 'pasture', 'pasture', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'mountains', 'fields', 'forest', 'forest', 'hills', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'forest', 'fields', 'mountains', 'desert', 'pasture', 'hills', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'mountains', 'fields', 'forest', 'forest', 'hills', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['hills', 'fields', 'forest', 'fields', 'mountains', 'desert', 'pasture', 'pasture', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'mountains', 'fields', 'forest', 'hills', 'forest', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'forest', 'fields', 'mountains', 'desert', 'pasture', 'hills', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'mountains', 'fields', 'forest', 'hills', 'forest', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['hills', 'fields', 'forest', 'fields', 'mountains', 'desert', 'pasture', 'hills', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'mountains', 'fields', 'forest', 'pasture', 'forest', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['forest', 'fields', 'forest', 'fields', 'mountains', 'desert', 'pasture', 'hills', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'mountains', 'fields', 'forest', 'pasture', 'hills', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['forest', 'fields', 'hills', 'fields', 'mountains', 'desert', 'pasture', 'pasture', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'mountains', 'fields', 'forest', 'forest', 'hills', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['forest', 'fields', 'hills', 'fields', 'mountains', 'desert', 'pasture', 'pasture', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'mountains', 'fields', 'forest', 'hills', 'forest', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['forest', 'fields', 'hills', 'fields', 'mountains', 'desert', 'pasture', 'hills', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'mountains', 'fields', 'forest', 'pasture', 'forest', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'forest', 'hills', 'mountains', 'desert', 'pasture', 'fields', 'forest', 'pasture', 'hills', 'mountains', 'pasture', 'mountains', 'fields', 'forest', 'fields', 'forest', 'hills']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'forest', 'fields', 'mountains', 'desert', 'pasture', 'hills', 'forest', 'pasture', 'hills', 'mountains', 'pasture', 'mountains', 'fields', 'forest', 'fields', 'forest', 'hills']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'forest', 'fields', 'mountains', 'desert', 'pasture', 'hills', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'mountains', 'fields', 'forest', 'forest', 'pasture', 'hills']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['hills', 'fields', 'forest', 'fields', 'mountains', 'desert', 'pasture', 'pasture', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'mountains', 'fields', 'forest', 'forest', 'pasture', 'hills']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'forest', 'fields', 'mountains', 'desert', 'pasture', 'hills', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'mountains', 'fields', 'forest', 'pasture', 'forest', 'hills']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'forest', 'fields', 'mountains', 'desert', 'pasture', 'pasture', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'mountains', 'fields', 'forest', 'hills', 'forest', 'hills']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['hills', 'fields', 'forest', 'fields', 'mountains', 'desert', 'pasture', 'pasture', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'mountains', 'fields', 'forest', 'pasture', 'forest', 'hills']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['forest', 'fields', 'mountains', 'hills', 'mountains', 'desert', 'pasture', 'pasture', 'forest', 'pasture', 'hills', 'fields', 'fields', 'mountains', 'fields', 'forest', 'forest', 'pasture', 'hills']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['forest', 'fields', 'mountains', 'hills', 'mountains', 'desert', 'pasture', 'pasture', 'forest', 'pasture', 'hills', 'fields', 'fields', 'mountains', 'fields', 'forest', 'pasture', 'forest', 'hills']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['forest', 'fields', 'forest', 'fields', 'mountains', 'desert', 'pasture', 'pasture', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'mountains', 'fields', 'forest', 'hills', 'pasture', 'hills']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['forest', 'fields', 'hills', 'fields', 'mountains', 'desert', 'pasture', 'pasture', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'mountains', 'fields', 'forest', 'pasture', 'forest', 'hills']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['forest', 'fields', 'hills', 'fields', 'mountains', 'desert', 'pasture', 'pasture', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'mountains', 'fields', 'forest', 'forest', 'pasture', 'hills']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'mountains', 'hills', 'mountains', 'desert', 'forest', 'fields', 'forest', 'pasture', 'hills', 'fields', 'pasture', 'mountains', 'fields', 'forest', 'hills', 'forest', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'mountains', 'hills', 'mountains', 'desert', 'forest', 'fields', 'forest', 'pasture', 'hills', 'pasture', 'pasture', 'mountains', 'fields', 'forest', 'fields', 'forest', 'hills']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['forest', 'fields', 'mountains', 'hills', 'mountains', 'desert', 'forest', 'fields', 'forest', 'pasture', 'hills', 'pasture', 'pasture', 'mountains', 'fields', 'forest', 'fields', 'hills', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['forest', 'fields', 'pasture', 'hills', 'mountains', 'desert', 'forest', 'fields', 'forest', 'pasture', 'hills', 'mountains', 'pasture', 'mountains', 'fields', 'forest', 'fields', 'hills', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'hills', 'hills', 'mountains', 'desert', 'forest', 'fields', 'forest', 'pasture', 'hills', 'mountains', 'pasture', 'mountains', 'fields', 'forest', 'fields', 'forest', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'pasture', 'hills', 'mountains', 'desert', 'forest', 'fields', 'forest', 'pasture', 'hills', 'mountains', 'pasture', 'mountains', 'fields', 'forest', 'fields', 'forest', 'hills']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['forest', 'fields', 'mountains', 'fields', 'mountains', 'desert', 'forest', 'hills', 'forest', 'pasture', 'hills', 'pasture', 'pasture', 'mountains', 'fields', 'forest', 'fields', 'hills', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['forest', 'fields', 'pasture', 'fields', 'mountains', 'desert', 'forest', 'hills', 'forest', 'pasture', 'hills', 'mountains', 'pasture', 'mountains', 'fields', 'forest', 'fields', 'hills', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'mountains', 'fields', 'mountains', 'desert', 'forest', 'hills', 'forest', 'pasture', 'hills', 'fields', 'pasture', 'mountains', 'fields', 'forest', 'hills', 'forest', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'mountains', 'fields', 'mountains', 'desert', 'forest', 'hills', 'forest', 'pasture', 'hills', 'pasture', 'pasture', 'mountains', 'fields', 'forest', 'fields', 'forest', 'hills']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['hills', 'fields', 'mountains', 'fields', 'mountains', 'desert', 'forest', 'hills', 'forest', 'pasture', 'hills', 'pasture', 'pasture', 'mountains', 'fields', 'forest', 'fields', 'forest', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'pasture', 'fields', 'mountains', 'desert', 'forest', 'hills', 'forest', 'pasture', 'hills', 'mountains', 'pasture', 'mountains', 'fields', 'forest', 'fields', 'forest', 'hills']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'hills', 'fields', 'mountains', 'desert', 'forest', 'hills', 'forest', 'pasture', 'hills', 'mountains', 'pasture', 'mountains', 'fields', 'forest', 'fields', 'forest', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['hills', 'fields', 'pasture', 'fields', 'mountains', 'desert', 'forest', 'hills', 'forest', 'pasture', 'hills', 'mountains', 'pasture', 'mountains', 'fields', 'forest', 'fields', 'forest', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'mountains', 'hills', 'mountains', 'desert', 'forest', 'fields', 'forest', 'pasture', 'hills', 'fields', 'pasture', 'mountains', 'fields', 'forest', 'forest', 'hills', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'mountains', 'fields', 'mountains', 'desert', 'forest', 'hills', 'forest', 'pasture', 'hills', 'fields', 'pasture', 'mountains', 'fields', 'forest', 'forest', 'hills', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['forest', 'fields', 'mountains', 'hills', 'mountains', 'desert', 'forest', 'pasture', 'forest', 'pasture', 'hills', 'fields', 'fields', 'mountains', 'fields', 'forest', 'pasture', 'hills', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'mountains', 'hills', 'mountains', 'desert', 'forest', 'pasture', 'forest', 'pasture', 'hills', 'fields', 'fields', 'mountains', 'fields', 'forest', 'forest', 'pasture', 'hills']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'mountains', 'hills', 'mountains', 'desert', 'forest', 'pasture', 'forest', 'pasture', 'hills', 'fields', 'fields', 'mountains', 'fields', 'forest', 'forest', 'hills', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'mountains', 'hills', 'mountains', 'desert', 'forest', 'pasture', 'forest', 'pasture', 'hills', 'fields', 'fields', 'mountains', 'fields', 'forest', 'pasture', 'forest', 'hills']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'mountains', 'hills', 'mountains', 'desert', 'forest', 'pasture', 'forest', 'pasture', 'hills', 'fields', 'fields', 'mountains', 'fields', 'forest', 'hills', 'forest', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['forest', 'fields', 'mountains', 'fields', 'mountains', 'desert', 'forest', 'pasture', 'forest', 'pasture', 'hills', 'pasture', 'fields', 'mountains', 'fields', 'forest', 'hills', 'pasture', 'hills']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['hills', 'fields', 'mountains', 'fields', 'mountains', 'desert', 'forest', 'pasture', 'forest', 'pasture', 'hills', 'pasture', 'fields', 'mountains', 'fields', 'forest', 'forest', 'pasture', 'hills']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['forest', 'fields', 'mountains', 'fields', 'mountains', 'desert', 'forest', 'hills', 'forest', 'pasture', 'hills', 'pasture', 'fields', 'mountains', 'fields', 'forest', 'pasture', 'hills', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['hills', 'fields', 'mountains', 'fields', 'mountains', 'desert', 'forest', 'pasture', 'forest', 'pasture', 'hills', 'pasture', 'fields', 'mountains', 'fields', 'forest', 'forest', 'hills', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'mountains', 'fields', 'mountains', 'desert', 'forest', 'hills', 'forest', 'pasture', 'hills', 'pasture', 'fields', 'mountains', 'fields', 'forest', 'forest', 'pasture', 'hills']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'mountains', 'fields', 'mountains', 'desert', 'forest', 'hills', 'forest', 'pasture', 'hills', 'pasture', 'fields', 'mountains', 'fields', 'forest', 'forest', 'hills', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['hills', 'fields', 'mountains', 'fields', 'mountains', 'desert', 'forest', 'pasture', 'forest', 'pasture', 'hills', 'pasture', 'fields', 'mountains', 'fields', 'forest', 'pasture', 'forest', 'hills']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'mountains', 'fields', 'mountains', 'desert', 'forest', 'hills', 'forest', 'pasture', 'hills', 'pasture', 'fields', 'mountains', 'fields', 'forest', 'pasture', 'forest', 'hills']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'mountains', 'fields', 'mountains', 'desert', 'forest', 'pasture', 'forest', 'pasture', 'hills', 'pasture', 'fields', 'mountains', 'fields', 'forest', 'hills', 'forest', 'hills']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['hills', 'fields', 'pasture', 'fields', 'mountains', 'desert', 'forest', 'pasture', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'mountains', 'fields', 'forest', 'pasture', 'forest', 'hills']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'pasture', 'fields', 'mountains', 'desert', 'forest', 'hills', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'mountains', 'fields', 'forest', 'pasture', 'forest', 'hills']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'pasture', 'fields', 'mountains', 'desert', 'forest', 'pasture', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'mountains', 'fields', 'forest', 'hills', 'forest', 'hills']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'hills', 'fields', 'mountains', 'desert', 'forest', 'pasture', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'mountains', 'fields', 'forest', 'pasture', 'forest', 'hills']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['forest', 'fields', 'pasture', 'fields', 'mountains', 'desert', 'forest', 'pasture', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'mountains', 'fields', 'forest', 'hills', 'pasture', 'hills']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['forest', 'fields', 'pasture', 'fields', 'mountains', 'desert', 'forest', 'hills', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'mountains', 'fields', 'forest', 'pasture', 'hills', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'pasture', 'fields', 'mountains', 'desert', 'forest', 'hills', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'mountains', 'fields', 'forest', 'hills', 'forest', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'mountains', 'fields', 'mountains', 'desert', 'forest', 'hills', 'forest', 'pasture', 'hills', 'pasture', 'fields', 'mountains', 'fields', 'forest', 'hills', 'forest', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['hills', 'fields', 'pasture', 'fields', 'mountains', 'desert', 'forest', 'hills', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'mountains', 'fields', 'forest', 'pasture', 'forest', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['hills', 'fields', 'mountains', 'fields', 'mountains', 'desert', 'forest', 'hills', 'forest', 'pasture', 'hills', 'pasture', 'fields', 'mountains', 'fields', 'forest', 'pasture', 'forest', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'hills', 'fields', 'mountains', 'desert', 'forest', 'hills', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'mountains', 'fields', 'forest', 'pasture', 'forest', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['forest', 'fields', 'hills', 'fields', 'mountains', 'desert', 'forest', 'pasture', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'mountains', 'fields', 'forest', 'pasture', 'hills', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['hills', 'fields', 'pasture', 'fields', 'mountains', 'desert', 'forest', 'pasture', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'mountains', 'fields', 'forest', 'forest', 'pasture', 'hills']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['hills', 'fields', 'pasture', 'fields', 'mountains', 'desert', 'forest', 'pasture', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'mountains', 'fields', 'forest', 'forest', 'hills', 'pasture']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'pasture', 'fields', 'mountains', 'desert', 'forest', 'hills', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'mountains', 'fields', 'forest', 'forest', 'pasture', 'hills']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
